make,model,year,trim,engine,drivetrain,transmission,body_style,region
Toyota,IST,2005,1.3F,1.3L 2NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2005,1.5G,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2006,1.3F,1.3L 2NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2006,1.5G,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2007,1.3F,1.3L 2NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2007,1.5G,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2008,1.3F,1.3L 2NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2008,1.5G,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2009,1.3F,1.3L 2NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2009,1.5G,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2010,1.3F,1.3L 2NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2010,1.5G,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2011,1.3F,1.3L 2NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2011,1.5G,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2012,1.3F,1.3L 2NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2012,1.5G,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2013,1.3F,1.3L 2NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2013,1.5G,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2014,1.3F,1.3L 2NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2014,1.5G,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2015,1.3F,1.3L 2NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2015,1.5G,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2016,1.3F,1.3L 2NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,IST,2016,1.5G,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2005,F,1.0L 1KR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2005,U,1.3L 1NR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2005,RS,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2006,F,1.0L 1KR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2006,U,1.3L 1NR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2006,RS,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2007,F,1.0L 1KR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2007,U,1.3L 1NR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2007,RS,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2008,F,1.0L 1KR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2008,U,1.3L 1NR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2008,RS,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2009,F,1.0L 1KR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2009,U,1.3L 1NR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2009,RS,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2010,F,1.0L 1KR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2010,U,1.3L 1NR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2010,RS,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2011,F,1.0L 1KR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2011,U,1.3L 1NR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2011,RS,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2012,F,1.0L 1KR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2012,U,1.3L 1NR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2012,RS,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2013,F,1.0L 1KR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2013,U,1.3L 1NR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2013,RS,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
